mse,corr,shrink
0.000230872310224261,covariance,no shrinkage
0.000126119158870658,covariance,shrink std
7.50994329367768e-05,covariance,shrink basis
0.0132236486684809,correlation,no shrinkage
0.00964809497735337,correlation,shrink std
0.00341909712459318,correlation,shrink basis
0.421908299367413,partial correlation,no shrinkage
0.0112294445916437,partial correlation,shrink std
0.00199560371892866,partial correlation,shrink basis
0.000251850951098388,covariance,no shrinkage
0.000134218650158695,covariance,shrink std
9.15315832546639e-05,covariance,shrink basis
0.0175256653941219,correlation,no shrinkage
0.0101898562215887,correlation,shrink std
0.00915533525714954,correlation,shrink basis
0.534586461954618,partial correlation,no shrinkage
0.0112501354357914,partial correlation,shrink std
0.00331917691496364,partial correlation,shrink basis
0.00264337307486893,covariance,no shrinkage
0.00128292798839974,covariance,shrink std
0.00101762412398554,covariance,shrink basis
0.0107444005684798,correlation,no shrinkage
0.00443077474194986,correlation,shrink std
0.00513534298642075,correlation,shrink basis
0.421957280806797,partial correlation,no shrinkage
0.0120154507197766,partial correlation,shrink std
0.00196485106589782,partial correlation,shrink basis
0.000335053435879437,covariance,no shrinkage
9.9033622680536e-05,covariance,shrink std
0.000210804427174723,covariance,shrink basis
0.0213083320559248,correlation,no shrinkage
0.0110682711697668,correlation,shrink std
0.0137822606343035,correlation,shrink basis
0.294702977352448,partial correlation,no shrinkage
0.00750387701861336,partial correlation,shrink std
0.00361486073775844,partial correlation,shrink basis
0.000583569955862306,covariance,no shrinkage
0.000351944985401376,covariance,shrink std
0.000346338028370725,covariance,shrink basis
0.018045845915014,correlation,no shrinkage
0.0115714998406866,correlation,shrink std
0.00996325826793733,correlation,shrink basis
0.425054425249282,partial correlation,no shrinkage
0.0126114052062864,partial correlation,shrink std
0.00472295945021623,partial correlation,shrink basis
0.000178928297711732,covariance,no shrinkage
0.000127223751773282,covariance,shrink std
5.20735003762082e-05,covariance,shrink basis
0.0170571593271553,correlation,no shrinkage
0.0135300592675136,correlation,shrink std
0.00531940732495845,correlation,shrink basis
0.379350308357018,partial correlation,no shrinkage
0.0111308984350509,partial correlation,shrink std
0.00203862051075553,partial correlation,shrink basis
0.00020992609550818,covariance,no shrinkage
0.000174336979132371,covariance,shrink std
4.58570757013427e-05,covariance,shrink basis
0.0110383897178995,correlation,no shrinkage
0.00959438763885419,correlation,shrink std
0.00381942538240844,correlation,shrink basis
0.860331339727078,partial correlation,no shrinkage
0.0165084554542737,partial correlation,shrink std
0.00203669262379802,partial correlation,shrink basis
0.000522843601155687,covariance,no shrinkage
0.000687441196282237,covariance,shrink std
0.000308045603112925,covariance,shrink basis
0.0147296638958107,correlation,no shrinkage
0.0214152280252742,correlation,shrink std
0.00474802169697463,correlation,shrink basis
0.209515340094882,partial correlation,no shrinkage
0.0112597604230715,partial correlation,shrink std
0.00281830711704455,partial correlation,shrink basis
0.000381657190785887,covariance,no shrinkage
0.000380585333045832,covariance,shrink std
0.000181307883377526,covariance,shrink basis
0.00832889565906885,correlation,no shrinkage
0.00966354701094644,correlation,shrink std
0.00296697400632816,correlation,shrink basis
0.781887599024368,partial correlation,no shrinkage
0.0138092783640071,partial correlation,shrink std
0.00275503384817111,partial correlation,shrink basis
0.000394429325615886,covariance,no shrinkage
0.000228465557588473,covariance,shrink std
0.000177052756706587,covariance,shrink basis
0.0131566281263308,correlation,no shrinkage
0.0108822909591368,correlation,shrink std
0.00476361826638914,correlation,shrink basis
0.343215802494337,partial correlation,no shrinkage
0.0111039062244278,partial correlation,shrink std
0.00284719346397902,partial correlation,shrink basis
0.000233382485710998,covariance,no shrinkage
0.000195884891365195,covariance,shrink std
5.61158219783241e-05,covariance,shrink basis
0.00711409191922549,correlation,no shrinkage
0.00873412246894674,correlation,shrink std
0.00279914869692825,correlation,shrink basis
0.852180725621959,partial correlation,no shrinkage
0.012947365913746,partial correlation,shrink std
0.00215215222978816,partial correlation,shrink basis
0.000196951136133011,covariance,no shrinkage
0.000236141074281867,covariance,shrink std
6.86892330816255e-05,covariance,shrink basis
0.0146447830257364,correlation,no shrinkage
0.0180329387094707,correlation,shrink std
0.00495046351045919,correlation,shrink basis
0.193265424572166,partial correlation,no shrinkage
0.0120049280100655,partial correlation,shrink std
0.00212861316092595,partial correlation,shrink basis
0.000298623133362703,covariance,no shrinkage
0.000346314597221417,covariance,shrink std
5.02100507057476e-05,covariance,shrink basis
0.0194072379495485,correlation,no shrinkage
0.0240944256989082,correlation,shrink std
0.00444779562440451,correlation,shrink basis
0.743758208215728,partial correlation,no shrinkage
0.0105699633756052,partial correlation,shrink std
0.00224737755742531,partial correlation,shrink basis
0.000297755902428101,covariance,no shrinkage
0.000240951321468359,covariance,shrink std
0.000172260693888086,covariance,shrink basis
0.00902929872667169,correlation,no shrinkage
0.00939899044583171,correlation,shrink std
0.00510731001445404,correlation,shrink basis
0.556450789272864,partial correlation,no shrinkage
0.0134087787725064,partial correlation,shrink std
0.00280216935095494,partial correlation,shrink basis
0.000173741661850178,covariance,no shrinkage
7.71643058854695e-05,covariance,shrink std
0.000112877420046979,covariance,shrink basis
0.0251882829105085,correlation,no shrinkage
0.0123584723897193,correlation,shrink std
0.0151501425744068,correlation,shrink basis
0.580946226216926,partial correlation,no shrinkage
0.00611197645627488,partial correlation,shrink std
0.00258937733261593,partial correlation,shrink basis
0.000121566410481029,covariance,no shrinkage
0.000120859299251178,covariance,shrink std
7.71466324927179e-05,covariance,shrink basis
0.0174945624146585,correlation,no shrinkage
0.0161849191351767,correlation,shrink std
0.00879488589913626,correlation,shrink basis
