mse,corr,shrink
0.000117057745860152,covariance,no shrinkage
2.32781597048841e-05,covariance,shrink std
1.9952450230423e-05,covariance,shrink basis
0.025627307636251,correlation,no shrinkage
0.00764462235752447,correlation,shrink std
0.00706442360044969,correlation,shrink basis
0.407730561794429,partial correlation,no shrinkage
0.00319375415422651,partial correlation,shrink std
0.00196189307638086,partial correlation,shrink basis
8.43652325675008e-05,covariance,no shrinkage
3.03125853155881e-05,covariance,shrink std
2.87368714634003e-05,covariance,shrink basis
0.0229676379611863,correlation,no shrinkage
0.0111173824321137,correlation,shrink std
0.0104689064822935,correlation,shrink basis
0.532518545174781,partial correlation,no shrinkage
0.00493903594894875,partial correlation,shrink std
0.00326901104073103,partial correlation,shrink basis
0.00012534131255395,covariance,no shrinkage
3.65571299389008e-05,covariance,shrink std
3.45002128856012e-05,covariance,shrink basis
0.0249260965743177,correlation,no shrinkage
0.00877405342421105,correlation,shrink std
0.00837681100479911,correlation,shrink basis
0.417826389752671,partial correlation,no shrinkage
0.00295417049582343,partial correlation,shrink std
0.00193067152919681,partial correlation,shrink basis
0.000145052088694823,covariance,no shrinkage
3.21625458737925e-05,covariance,shrink std
2.7431758905955e-05,covariance,shrink basis
0.0257405258568595,correlation,no shrinkage
0.00678748848394766,correlation,shrink std
0.00612760095329205,correlation,shrink basis
0.298539806084658,partial correlation,no shrinkage
0.00523466084102097,partial correlation,shrink std
0.00361783940252444,partial correlation,shrink basis
0.000117995331893378,covariance,no shrinkage
3.40492255798522e-05,covariance,shrink std
3.01753069276629e-05,covariance,shrink basis
0.0274761475713803,correlation,no shrinkage
0.00890386573590515,correlation,shrink std
0.00822170363228113,correlation,shrink basis
0.409418416576498,partial correlation,no shrinkage
0.0066939026869222,partial correlation,shrink std
0.0047785782548998,partial correlation,shrink basis
9.43002190982241e-05,covariance,no shrinkage
2.08139989233508e-05,covariance,shrink std
1.77708092878121e-05,covariance,shrink basis
0.0227023642630307,correlation,no shrinkage
0.00745311906568143,correlation,shrink std
0.00720945167902595,correlation,shrink basis
0.37740631306521,partial correlation,no shrinkage
0.00394350814579846,partial correlation,shrink std
0.00204307350667709,partial correlation,shrink basis
7.67199196719029e-05,covariance,no shrinkage
2.85481216735386e-05,covariance,shrink std
2.60929767741325e-05,covariance,shrink basis
0.0271366035201888,correlation,no shrinkage
0.0128445253740843,correlation,shrink std
0.0116254027017147,correlation,shrink basis
0.863513005828617,partial correlation,no shrinkage
0.00277129011573182,partial correlation,shrink std
0.00198476404712482,partial correlation,shrink basis
0.000105905947348718,covariance,no shrinkage
3.19761914954629e-05,covariance,shrink std
2.98042611052898e-05,covariance,shrink basis
0.0268949573837913,correlation,no shrinkage
0.0101522083500861,correlation,shrink std
0.00979204316574906,correlation,shrink basis
0.21343156724416,partial correlation,no shrinkage
0.00420408363773555,partial correlation,shrink std
0.00283230767189998,partial correlation,shrink basis
0.000138188347892707,covariance,no shrinkage
3.44682729941656e-05,covariance,shrink std
3.2775409460408e-05,covariance,shrink basis
0.0242409937690644,correlation,no shrinkage
0.00791960760276195,correlation,shrink std
0.0074663378946731,correlation,shrink basis
0.786411750147477,partial correlation,no shrinkage
0.00366353871875935,partial correlation,shrink std
0.00273192407317317,partial correlation,shrink basis
0.000121493164086294,covariance,no shrinkage
2.68739541894153e-05,covariance,shrink std
2.66746951014695e-05,covariance,shrink basis
0.026338900233389,correlation,no shrinkage
0.00689832869746349,correlation,shrink std
0.00654527238198717,correlation,shrink basis
0.334143110082998,partial correlation,no shrinkage
0.00384939664393018,partial correlation,shrink std
0.00285942971775431,partial correlation,shrink basis
8.09533589162975e-05,covariance,no shrinkage
2.55244912747349e-05,covariance,shrink std
2.39372359062109e-05,covariance,shrink basis
0.0263226373581356,correlation,no shrinkage
0.0113389653874166,correlation,shrink std
0.010631960881165,correlation,shrink basis
0.856080333453337,partial correlation,no shrinkage
0.00302684367134024,partial correlation,shrink std
0.00210507870633797,partial correlation,shrink basis
7.26402939613343e-05,covariance,no shrinkage
2.06294672122201e-05,covariance,shrink std
1.87831026403657e-05,covariance,shrink basis
0.0244265456345457,correlation,no shrinkage
0.00794778650775833,correlation,shrink std
0.00746500771364382,correlation,shrink basis
0.186544814049923,partial correlation,no shrinkage
0.0029913920926004,partial correlation,shrink std
0.00209765972591366,partial correlation,shrink basis
0.000104845590744007,covariance,no shrinkage
2.6734996864553e-05,covariance,shrink std
2.43518989926518e-05,covariance,shrink basis
0.0237094848686828,correlation,no shrinkage
0.0072446520548996,correlation,shrink std
0.00697261304883101,correlation,shrink basis
0.741972357272782,partial correlation,no shrinkage
0.00318995341038092,partial correlation,shrink std
0.00224586402757311,partial correlation,shrink basis
0.000101033502458817,covariance,no shrinkage
2.80417029543441e-05,covariance,shrink std
2.57201831140179e-05,covariance,shrink basis
0.0265552563584368,correlation,no shrinkage
0.0103136360003913,correlation,shrink std
0.00990336526572492,correlation,shrink basis
0.560972166449256,partial correlation,no shrinkage
0.00419894535005355,partial correlation,shrink std
0.00285809525979843,partial correlation,shrink basis
0.000100816355311871,covariance,no shrinkage
2.03642478477442e-05,covariance,shrink std
1.73758462812903e-05,covariance,shrink basis
0.0264515402296452,correlation,no shrinkage
0.00700825463388483,correlation,shrink std
0.00644638131501107,correlation,shrink basis
0.562808303380932,partial correlation,no shrinkage
0.00391411840101395,partial correlation,shrink std
0.00261037063431473,partial correlation,shrink basis
7.5577487348015e-05,covariance,no shrinkage
2.11683555175256e-05,covariance,shrink std
2.00429738960345e-05,covariance,shrink basis
0.024469875524833,correlation,no shrinkage
0.0104051188691664,correlation,shrink std
0.010038121798209,correlation,shrink basis
0.504970830079294,partial correlation,no shrinkage
0.00304750372485161,partial correlation,shrink std
0.00185837656530627,partial correlation,shrink basis
9.88607709230308e-05,covariance,no shrinkage
2.65803321312508e-05,covariance,shrink std
2.43250007886567e-05,covariance,shrink basis
0.0254908205911556,correlation,no shrinkage
0.00881654948500291,correlation,shrink std
0.00858623195197796,correlation,shrink basis
0.466167188999998,partial correlation,no shrinkage
0.00553909468770716,partial correlation,shrink std
0.00377885920859231,partial correlation,shrink basis
8.46042392528268e-05,covariance,no shrinkage
1.9305893877281e-05,covariance,shrink std
1.72762851283351e-05,covariance,shrink basis
0.0260495861929507,correlation,no shrinkage
0.00984882743768042,correlation,shrink std
0.00917060049799543,correlation,shrink basis
0.356030645104719,partial correlation,no shrinkage
0.00299841884902127,partial correlation,shrink std
0.00186825017618689,partial correlation,shrink basis
0.000102824625681533,covariance,no shrinkage
2.07396402184183e-05,covariance,shrink std
1.84835393768176e-05,covariance,shrink basis
0.0237295750678589,correlation,no shrinkage
0.00691783420691428,correlation,shrink std
0.00638681640151349,correlation,shrink basis
0.356954384768557,partial correlation,no shrinkage
0.00308982031224843,partial correlation,shrink std
0.00202364786255736,partial correlation,shrink basis
8.59044647617804e-05,covariance,no shrinkage
2.85241824448251e-05,covariance,shrink std
2.66603636064879e-05,covariance,shrink basis
0.0246533299112166,correlation,no shrinkage
0.00923321590829449,correlation,shrink std
0.00876449400712087,correlation,shrink basis
0.316293439980316,partial correlation,no shrinkage
0.00419718980557004,partial correlation,shrink std
